ICAO,type,value
KAAA,approach,126.150
KAAA,awos,118.775
KAAA,ctaf,122.800
KAAA,unicom,122.800
KAAF,approach,124.150
KAAF,approach,125.200
KAAF,asos,119.925
KAAF,ctaf,122.800
KAAF,unicom,122.800
KAAO,approach,134.800
KAAO,asos,134.025
KAAO,clearance,125.000
KAAO,ctaf,122.700
KAAO,unicom,122.700
KAAS,awos,121.125
KAAS,ctaf,122.700
KAAS,unicom,122.700
KAAT,asos,124.175
KAAT,ctaf,122.800
KAAT,unicom,122.800
KABE,approach,119.650
KABE,approach,124.450
KABE,asos,126.975
KABE,atis,126.975
KABE,clearance,124.050
KABE,ground,121.900
KABE,unicom,122.950
KABI,approach,125.000
KABI,approach,127.200
KABI,atis,118.250
KABI,ground,121.700
KABI,unicom,122.950
KABO,ctaf,122.800
KABO,unicom,122.800
KABQ,approach,123.900
KABQ,approach,126.300
KABQ,approach,127.400
KABQ,atis,118.000
KABQ,clearance,119.200
KABQ,ground,121.900
KABQ,unicom,122.950
KABR,asos,125.875
KABR,ctaf,122.700
KABR,unicom,122.700
KABY,atis,133.050
KABY,ctaf,120.250
KABY,ground,121.900
KABY,unicom,122.950
KACB,awos,119.275
KACB,ctaf,122.700
KACB,unicom,122.700
KACJ,approach,124.200
KACJ,awos,128.375
KACJ,clearance,119.950
KACJ,ctaf,122.800
KACJ,unicom,122.800
KACK,approach,126.100
KACK,atis,127.500
KACK,clearance,119.375
KACK,ctaf,118.300
KACK,ground,132.500
KACK,unicom,122.950
KACP,approach,123.700
KACP,awos,118.275
KACP,ctaf,122.800
KACP,unicom,122.800
KACQ,awos,118.425
KACQ,ctaf,122.800
KACQ,unicom,122.800
KACT,approach,127.650
KACT,atis,123.850
KACT,ctaf,119.300
KACT,departure,126.125
KACT,ground,121.900
KACT,unicom,122.950
KACV,asos,118.525
KACV,ctaf,123.000
KACV,unicom,123.000
KACY,approach,124.600
KACY,approach,134.250
KACY,atis,125.725
KACY,clearance,127.850
KACY,ctaf,120.300
KACY,ground,121.900
KACZ,approach,135.750
KACZ,awos,121.070
KACZ,ctaf,122.800
KACZ,unicom,122.800
KADC,awos,118.875
KADC,ctaf,122.800
KADC,unicom,122.800
KADF,awos,118.175
KADF,ctaf,122.700
KADF,unicom,122.700
KADG,approach,134.350
KADG,asos,118.825
KADG,ctaf,122.800
KADG,unicom,122.800
KADH,awos,118.725
KADH,ctaf,122.800
KADH,unicom,122.800
KADK,awos,134.500
KADK,ctaf,122.900
KADM,atis,125.600
KADM,awos,125.600
KADM,ctaf,118.500
KADM,ground,121.800
KADM,unicom,122.950
KADQ,atis,134.450
KADQ,ctaf,119.800
KADQ,ground,121.900
KADQ,unicom,122.800
KADS,approach,124.300
KADS,atis,133.400
KADS,clearance,119.550
KADS,ctaf,126.000
KADS,ground,121.600
KADS,unicom,122.950
KADT,awos,118.675
KADT,ctaf,122.700
KADT,unicom,122.700
KADU,awos,118.075
KADU,ctaf,122.800
KADU,unicom,122.800
KADW,approach,128.000
KADW,atis,133.675
KADW,clearance,127.550
KADW,departure,118.950
KADW,departure,125.650
KADW,ground,121.800
KAEG,approach,127.400
KAEG,atis,119.025
KAEG,clearance,124.800
KAEG,ctaf,120.150
KAEG,ground,121.625
KAEJ,awos,132.925
KAEJ,ctaf,122.800
KAEJ,unicom,122.800
KAEL,approach,119.800
KAEL,awos,119.575
KAEL,ctaf,123.000
KAEL,unicom,123.000
KAEX,approach,125.400
KAEX,asos,123.975
KAEX,clearance,121.900
KAEX,ctaf,127.350
KAEX,ground,121.900
KAFE,awos,135.250
KAFE,ctaf,122.900
KAFF,atis,128.525
KAFF,ctaf,124.150
KAFF,ground,118.125
KAFJ,approach,119.350
KAFJ,awos,119.175
KAFJ,clearance,127.300
KAFJ,ctaf,122.975
KAFJ,unicom,122.975
KAFK,approach,135.875
KAFK,awos,128.325
KAFK,ctaf,122.700
KAFK,unicom,122.700
KAFM,awos,132.100
KAFM,ctaf,122.700
KAFN,asos,135.875
KAFN,ctaf,122.800
KAFN,unicom,122.800
KAFO,awos,119.025
KAFO,ctaf,122.800
KAFO,unicom,122.800
KAFP,approach,120.050
KAFP,awos,119.325
KAFP,ctaf,122.800
KAFP,unicom,122.800
KAFW,approach,118.100
KAFW,atis,126.925
KAFW,clearance,128.725
KAFW,ground,132.650
KAGC,approach,119.350
KAGC,asos,120.550
KAGC,atis,120.550
KAGC,ground,121.700
KAGC,unicom,122.950
KAGI,awos,118.375
KAGN,awos,118.325
KAGN,ctaf,122.900
KAGO,awos,118.050
KAGO,ctaf,122.800
KAGO,unicom,122.800
KAGS,approach,119.150
KAGS,approach,126.800
KAGS,atis,132.750
KAGS,clearance,118.650
KAGS,ctaf,118.700
KAGS,ground,121.900
KAGS,tower,119.150
KAGS,unicom,122.950
KAGZ,awos,128.325
KAGZ,ctaf,122.800
KAGZ,unicom,122.800
KAHC,awos,118.825
KAHC,ctaf,126.200
KAHH,ctaf,122.800
KAHH,unicom,122.800
KAHN,approach,132.475
KAHN,asos,132.875
KAHN,clearance,121.800
KAHN,ctaf,126.300
KAHN,ground,121.800
KAHN,unicom,122.950
KAHP,ctaf,122.900
KAHQ,approach,135.875
KAHQ,awos,125.975
KAHQ,ctaf,122.700
KAHQ,unicom,122.700
KAIA,asos,135.075
KAIA,ctaf,123.000
KAIA,unicom,123.000
KAIB,awos,132.525
KAIB,ctaf,122.800
KAIB,unicom,122.800
KAID,approach,120.650
KAID,awos,128.550
KAID,ctaf,126.000
KAID,ground,121.600
KAID,unicom,122.950
KAIG,awos,119.075
KAIG,ctaf,122.800
KAIG,unicom,122.800
KAIK,approach,119.150
KAIK,approach,124.150
KAIK,awos,118.025
KAIK,clearance,126.075
KAIK,ctaf,122.800
KAIK,unicom,122.800
KAIO,awos,127.825
KAIO,ctaf,122.700
KAIO,unicom,122.700
KAIT,awos,118.675
KAIT,ctaf,123.050
KAIT,unicom,123.050
KAIV,approach,135.600
KAIV,ctaf,122.800
KAIV,unicom,122.800
KAIZ,approach,124.100
KAIZ,awos,135.325
KAIZ,ctaf,122.800
KAIZ,unicom,122.800
KAJC,awos,135.750
KAJC,ctaf,122.800
KAJG,approach,125.600
KAJG,awos,134.900
KAJG,ctaf,122.700
KAJG,unicom,122.700
KAJO,approach,135.400
KAJO,awos,132.175
KAJO,ctaf,122.700
KAJO,unicom,122.700
KAJR,awos,119.175
KAJR,ctaf,122.700
KAJR,unicom,122.700
KAJZ,awos,134.000
KAJZ,ctaf,122.800
KAJZ,unicom,122.800
KAKA,awos,135.550
KAKA,ctaf,122.900
KAKH,approach,120.050
KAKH,asos,135.725
KAKH,clearance,127.200
KAKH,ctaf,123.000
KAKH,unicom,123.000
KAKI,ctaf,122.900
KAKK,awos,118.325
KAKK,ctaf,122.800
KAKK,unicom,122.800
KAKN,asos,128.800
KAKN,atis,128.800
KAKN,ctaf,121.900
KAKN,ground,121.900
KAKN,unicom,122.950
KAKO,asos,135.475
KAKO,ctaf,122.800
KAKO,unicom,122.800
KAKP,awos,135.750
KAKP,ctaf,122.800
KAKP,unicom,122.800
KAKQ,approach,127.900
KAKQ,asos,128.325
KAKQ,ctaf,122.800
KAKQ,unicom,122.800
KAKR,approach,125.500
KAKR,asos,126.825
KAKR,clearance,121.600
KAKR,ctaf,123.075
KAKR,unicom,123.075
KAKW,asos,135.450
KAKW,ctaf,120.900
KALB,approach,118.050
KALB,approach,127.150
KALB,approach,132.825
KALB,asos,120.450
KALB,atis,120.450
KALB,clearance,127.500
KALB,ground,121.700
KALB,unicom,122.950
KALI,approach,119.900
KALI,asos,119.225
KALI,ctaf,123.000
KALI,unicom,123.000
KALM,approach,120.600
KALM,awos,127.825
KALM,ctaf,122.800
KALM,departure,128.100
KALM,unicom,122.800
KALN,approach,124.200
KALN,atis,128.000
KALN,awos,128.000
KALN,clearance,120.200
KALN,clearance,128.100
KALN,ctaf,126.000
KALN,ground,120.200
KALN,unicom,122.950
KALO,approach,118.900
KALO,asos,120.650
KALO,atis,120.650
KALO,clearance,121.900
KALO,ctaf,125.075
KALO,ground,121.900
KALO,unicom,122.950
KALS,asos,135.175
KALS,ctaf,122.800
KALS,unicom,122.800
KALW,approach,133.150
KALW,asos,135.875
KALW,ctaf,118.500
KALW,ground,121.600
KALW,unicom,122.950
KALX,approach,121.200
KALX,awos,118.325
KALX,ctaf,122.700
KALX,unicom,122.700
KALZ,ctaf,122.800
KAMA,approach,119.500
KAMA,approach,121.150
KAMA,asos,118.850
KAMA,atis,118.850
KAMA,clearance,121.650
KAMA,ctaf,118.300
KAMA,ground,121.900
KAMA,unicom,122.950
KAMG,asos,118.325
KAMG,ctaf,122.700
KAMG,unicom,122.700
KAMN,approach,126.450
KAMN,awos,124.175
KAMN,ctaf,122.800
KAMN,unicom,122.800
KAMT,ctaf,122.800
KAMT,unicom,122.800
KAMW,approach,123.900
KAMW,asos,132.025
KAMW,clearance,126.000
KAMW,ctaf,122.700
KAMW,unicom,122.700
KANB,approach,132.150
KANB,awos,119.675
KANB,ctaf,123.600
KANB,unicom,123.000
KANC,approach,118.600
KANC,approach,119.100
KANC,approach,123.800
KANC,approach,126.400
KANC,approach,134.100
KANC,atis,135.500
KANC,clearance,119.400
KANC,clearance,128.650
KANC,ground,121.900
KANC,unicom,122.950
KAND,approach,118.800
KAND,asos,120.675
KAND,ctaf,123.600
KANE,approach,126.500
KANE,atis,120.625
KANE,clearance,121.300
KANE,clearance,121.850
KANE,ctaf,132.400
KANE,ground,121.850
KANE,unicom,122.950
KANG,ctaf,122.900
KANI,awos,124.300
KANI,ctaf,122.100
KANJ,asos,118.375
KANJ,ctaf,122.700
KANJ,unicom,122.700
KANK,awos,133.850
KANK,ctaf,122.700
KANK,unicom,122.700
KANN,ctaf,122.900
KANP,approach,119.700
KANP,ctaf,122.900
KANQ,approach,127.200
KANQ,approach,132.150
KANQ,awos,118.175
KANQ,ctaf,123.075
KANQ,unicom,123.075
KANR,awos,118.975
KANV,awos,133.550
KANV,ctaf,122.700
KANV,unicom,122.700
KANW,awos,118.325
KANW,ctaf,122.800
KANW,unicom,122.800
KANY,approach,126.700
KANY,awos,119.575
KANY,ctaf,122.800
KANY,unicom,122.800
KAOC,ctaf,122.800
KAOC,unicom,122.800
KAOH,approach,121.825
KAOH,asos,128.725
KAOH,ctaf,122.700
KAOH,departure,134.450
KAOH,unicom,122.700
KAOO,approach,121.200
KAOO,asos,127.125
KAOO,ctaf,123.600
KAOV,approach,126.350
KAOV,ctaf,122.700
KAOV,unicom,122.700
KAPA,approach,132.750
KAPA,atis,120.300
KAPA,clearance,128.600
KAPA,ground,121.800
KAPA,unicom,122.950
KAPC,atis,124.050
KAPC,clearance,127.850
KAPC,ctaf,118.700
KAPC,ground,121.700
KAPC,unicom,122.950
KAPF,approach,119.750
KAPF,approach,124.125
KAPF,asos,134.225
KAPF,atis,134.225
KAPF,clearance,118.000
KAPF,clearance,124.125
KAPF,ctaf,128.500
KAPF,ground,121.600
KAPG,approach,125.525
KAPG,ctaf,126.150
KAPH,approach,126.750
KAPH,ctaf,126.200
KAPN,approach,128.425
KAPN,asos,120.675
KAPN,atis,120.675
KAPN,ctaf,121.350
KAPN,ground,121.900
KAPN,unicom,122.950
KAPS,approach,125.500
KAPS,awos,125.450
KAPS,ctaf,122.700
KAPS,unicom,122.700
KAPT,approach,119.200
KAPT,ctaf,122.800
KAPT,unicom,122.800
KAPV,approach,124.550
KAPV,ctaf,122.800
KAPV,unicom,122.800
KAPY,awos,118.225
KAPY,ctaf,122.700
KAPY,unicom,122.700
KAQA,awos,119.275
KAQH,awos,121.575
KAQH,ctaf,122.800
KAQH,unicom,122.800
KAQO,awos,119.425
KAQO,ctaf,123.050
KAQO,unicom,123.050
KAQP,awos,118.500
KAQP,ctaf,122.900
KAQR,awos,121.125
KAQR,ctaf,122.900
KAQT,asos,135.350
KAQT,ctaf,122.800
KAQW,approach,132.825
KAQW,asos,134.775
KAQW,ctaf,122.800
KAQW,unicom,122.800
KAQX,awos,118.950
KAQX,ctaf,122.800
KAQX,unicom,122.800
KAQY,ctaf,122.900
KARA,approach,121.100
KARA,asos,133.325
KARA,clearance,118.050
KARA,clearance,121.700
KARA,ctaf,125.000
KARA,ground,121.700
KARA,unicom,122.950
KARB,approach,118.950
KARB,atis,134.550
KARB,clearance,121.600
KARB,ctaf,120.300
KARB,ground,121.600
KARB,unicom,123.000
KARC,awos,135.750
KARC,ctaf,122.900
KARG,awos,126.525
KARG,ctaf,122.800
KARG,unicom,122.800
KARM,approach,120.050
KARM,awos,118.475
KARM,ctaf,122.700
KARM,unicom,122.700
KARR,approach,133.500
KARR,atis,125.850
KARR,clearance,121.700
KARR,ctaf,120.600
KARR,ground,121.700
KART,approach,124.875
KART,asos,132.325
KART,clearance,120.800
KART,ctaf,123.000
KART,unicom,123.000
KARV,awos,121.125
KARV,ctaf,122.700
KARV,unicom,122.700
KARW,approach,125.125
KARW,awos,119.675
KARW,clearance,121.725
KARW,ctaf,122.700
KARW,unicom,122.700
KASD,approach,133.150
KASD,asos,132.475
KASD,ctaf,122.800
KASD,unicom,122.800
KASE,approach,123.800
KASE,asos,120.400
KASE,atis,120.400
KASE,clearance,123.750
KASE,ctaf,118.850
KASE,ground,121.900
KASE,unicom,122.950
KASG,approach,126.600
KASG,awos,124.675
KASG,ctaf,118.200
KASG,ground,121.600
KASG,unicom,122.950
KASH,approach,124.900
KASH,atis,125.100
KASH,awos,125.100
KASH,clearance,121.800
KASH,ctaf,133.200
KASH,ground,121.800
KASJ,awos,119.075
KASJ,ctaf,122.800
KASJ,unicom,122.800
KASL,approach,119.900
KASL,awos,118.675
KASL,ctaf,122.800
KASL,unicom,122.800
KASN,approach,132.150
KASN,awos,118.425
KASN,ctaf,122.800
KASN,unicom,122.800
KAST,asos,135.375
KAST,ctaf,122.800
KAST,unicom,122.800
KASW,approach,127.200
KASW,awos,121.125
KASW,clearance,134.050
KASW,ctaf,122.700
KASW,unicom,122.700
KASX,asos,126.775
KASX,ctaf,122.800
KASX,unicom,122.800
KASY,ctaf,122.900
KATA,awos,118.250
KATA,ctaf,122.900
KATK,awos,119.925
KATK,ctaf,122.900
KATL,approach,127.900
KATL,approach,128.000
KATL,atis,119.650
KATL,atis,125.550
KATL,clearance,118.100
KATL,departure,121.225
KATL,departure,125.650
KATL,departure,133.475
KATL,ground,121.650
KATL,ground,121.750
KATL,ground,121.900
KATL,ground,127.900
KATL,unicom,122.950
KATM,ctaf,122.900
KATP,awos,119.525
KATS,approach,119.600
KATS,awos,126.725
KATS,ctaf,123.075
KATS,unicom,123.075
KATU,ctaf,122.900
KATW,approach,126.300
KATW,atis,127.150
KATW,ctaf,119.600
KATW,ground,121.700
KATW,unicom,122.950
KATY,asos,126.625
KATY,ctaf,123.050
KATY,unicom,123.050
KAUG,approach,128.350
KAUG,asos,118.325
KAUG,clearance,119.950
KAUG,ctaf,123.000
KAUG,unicom,123.000
KAUH,awos,121.225
KAUH,ctaf,122.800
KAUH,unicom,122.800
KAUK,ctaf,122.900
KAUM,approach,119.800
KAUM,awos,119.025
KAUM,ctaf,122.700
KAUM,unicom,122.700
KAUN,approach,125.400
KAUN,awos,119.375
KAUN,ctaf,122.700
KAUN,unicom,122.700
KAUO,approach,125.500
KAUO,approach,126.550
KAUO,awos,132.575
KAUO,clearance,118.700
KAUO,clearance,121.625
KAUO,ctaf,123.875
KAUO,ground,121.625
KAUO,unicom,123.000
KAUS,approach,119.000
KAUS,approach,120.875
KAUS,approach,127.225
KAUS,atis,124.400
KAUS,clearance,125.500
KAUS,ground,121.700
KAUS,ground,121.900
KAUS,unicom,122.950
KAUW,asos,125.925
KAUW,ctaf,122.700
KAUW,unicom,122.700
KAVC,awos,127.525
KAVC,ctaf,122.800
KAVC,unicom,122.800
KAVK,approach,126.750
KAVK,awos,121.125
KAVK,ctaf,122.800
KAVK,unicom,122.800
KAVL,approach,124.650
KAVL,approach,125.800
KAVL,atis,120.200
KAVL,ctaf,121.100
KAVL,ground,121.900
KAVL,unicom,122.950
KAVO,awos,118.725
KAVO,ctaf,122.800
KAVO,unicom,122.800
KAVP,approach,120.950
KAVP,approach,126.300
KAVP,atis,135.750
KAVP,ground,121.900
KAVP,unicom,122.950
KAVQ,approach,119.400
KAVQ,awos,118.375
KAVQ,ctaf,123.000
KAVQ,unicom,123.000
KAVX,approach,127.400
KAVX,asos,120.675
KAVX,ctaf,122.700
KAVX,unicom,122.700
KAWG,awos,127.825
KAWG,ctaf,122.700
KAWG,unicom,122.700
KAWI,asos,132.250
KAWI,ctaf,122.800
KAWM,approach,119.100
KAWM,approach,126.700
KAWM,asos,118.175
KAWM,clearance,121.700
KAWM,ctaf,123.050
KAWM,departure,124.650
KAWM,unicom,123.050
KAWO,approach,128.500
KAWO,awos,135.625
KAWO,clearance,121.725
KAWO,ctaf,122.725
KAXA,awos,118.475
KAXA,ctaf,122.800
KAXA,unicom,122.800
KAXH,approach,120.050
KAXH,approach,123.800
KAXH,awos,123.625
KAXH,clearance,120.800
KAXH,ctaf,123.000
KAXH,unicom,123.000
KAXN,asos,118.375
KAXN,ctaf,123.000
KAXN,unicom,123.000
KAXQ,awos,118.275
KAXQ,ctaf,122.800
KAXQ,unicom,122.800
KAXS,approach,125.100
KAXS,awos,118.825
KAXS,ctaf,122.800
KAXS,unicom,122.800
KAXV,approach,134.450
KAXV,awos,128.325
KAXV,ctaf,122.800
KAXV,unicom,122.800
KAXX,awos,118.025
KAXX,ctaf,122.800
KAXX,unicom,122.800
KAYS,awos,118.575
KAYS,ctaf,122.800
KAYS,unicom,122.800
KAYX,ctaf,126.200
KAZC,awos,118.375
KAZC,ctaf,122.700
KAZC,unicom,122.700
KAZE,awos,119.125
KAZE,ctaf,122.800
KAZE,unicom,122.800
KAZK,awos,134.950
KAZO,approach,119.200
KAZO,approach,121.200
KAZO,approach,123.800
KAZO,atis,127.250
KAZO,clearance,121.200
KAZO,clearance,121.750
KAZO,ctaf,118.300
KAZO,ground,121.900
KAZO,unicom,122.950
KBAB,approach,125.400
KBAB,atis,124.550
KBAB,ground,121.600
KBAC,awos,118.725
KBAC,ctaf,122.800
KBAC,unicom,122.800
KBAD,approach,119.900
KBAD,approach,123.750
KBAD,ground,121.800
KBAF,approach,125.350
KBAF,asos,127.100
KBAF,atis,127.100
KBAF,clearance,121.700
KBAF,ctaf,125.075
KBAF,ground,121.700
KBAK,approach,134.850
KBAK,awos,119.750
KBAK,clearance,134.850
KBAK,ctaf,118.600
KBAK,ground,121.600
KBAK,unicom,122.950
KBAM,awos,119.450
KBAM,ctaf,122.800
KBAM,unicom,122.800
KBAX,awos,118.600
KBAX,ctaf,123.075
KBAX,unicom,123.075
KBAZ,approach,124.450
KBAZ,asos,119.325
KBAZ,atis,119.325
KBAZ,clearance,134.750
KBAZ,ctaf,127.050
KBAZ,departure,128.050
KBAZ,ground,120.175
KBAZ,unicom,122.700
KBBB,awos,118.450
KBBB,ctaf,122.800
KBBB,unicom,122.800
KBBD,awos,118.375
KBBD,ctaf,122.800
KBBD,unicom,122.800
KBBG,approach,126.350
KBBG,atis,124.625
KBBG,awos,124.625
KBBG,clearance,118.400
KBBG,clearance,126.350
KBBG,ctaf,128.150
KBBG,ground,118.400
KBBG,unicom,122.950
KBBP,approach,118.600
KBBP,awos,123.825
KBBP,ctaf,122.800
KBBP,unicom,122.800
KBBW,asos,120.000
KBBW,ctaf,122.800
KBBW,unicom,122.800
KBCB,approach,133.225
KBCB,awos,133.325
KBCB,clearance,124.850
KBCB,ctaf,123.050
KBCB,unicom,123.050
KBCE,asos,135.475
KBCE,ctaf,122.800
KBCE,unicom,122.800
KBCK,awos,119.125
KBCK,ctaf,122.900
KBCR,approach,133.750
KBCR,asos,119.825
KBCR,ctaf,122.725
KBCR,unicom,122.725
KBCT,approach,127.350
KBCT,atis,121.125
KBCT,clearance,121.800
KBCT,ctaf,118.425
KBCT,ground,121.800
KBCV,awos,135.550
KBCV,ctaf,123.000
KBDE,asos,126.775
KBDE,ctaf,122.800
KBDE,unicom,122.800
KBDG,awos,127.750
KBDG,ctaf,122.800
KBDG,unicom,122.800
KBDH,awos,118.750
KBDH,ctaf,122.800
KBDH,unicom,122.800
KBDJ,ctaf,122.900
KBDL,approach,123.950
KBDL,approach,125.350
KBDL,approach,127.225
KBDL,asos,118.150
KBDL,atis,118.150
KBDL,clearance,121.750
KBDL,ground,121.900
KBDL,unicom,122.950
KBDN,awos,134.425
KBDN,ctaf,123.000
KBDN,unicom,123.000
KBDQ,ctaf,122.800
KBDQ,unicom,122.800
KBDR,approach,124.075
KBDR,asos,119.150
KBDR,atis,119.150
KBDR,clearance,121.750
KBDR,clearance,124.075
KBDR,ctaf,120.900
KBDR,ground,121.750
KBDR,unicom,123.000
KBDU,awos,118.825
KBDU,ctaf,122.725
KBDU,unicom,122.725
KBEA,awos,118.675
KBEA,ctaf,122.800
KBEA,unicom,122.800
KBEC,approach,134.800
KBEC,awos,119.450
KBEC,clearance,125.000
KBEC,ctaf,126.800
KBEC,ground,121.700
KBEC,unicom,122.950
KBED,approach,124.400
KBED,asos,124.600
KBED,atis,124.600
KBED,clearance,121.850
KBED,ctaf,118.500
KBED,ground,121.700
KBED,unicom,122.950
KBEH,approach,118.550
KBEH,asos,121.550
KBEH,clearance,119.700
KBEH,ctaf,123.000
KBEH,unicom,123.000
KBET,asos,135.450
KBET,atis,119.800
KBET,ctaf,118.700
KBET,ground,121.700
KBFA,awos,118.675
KBFA,ctaf,122.800
KBFA,unicom,122.800
KBFD,asos,133.825
KBFD,ctaf,123.075
KBFD,unicom,123.075
KBFE,approach,119.200
KBFE,approach,119.900
KBFE,ctaf,122.800
KBFE,unicom,122.800
KBFF,asos,121.025
KBFF,ctaf,123.000
KBFF,unicom,123.000
KBFI,approach,119.200
KBFI,approach,120.100
KBFI,approach,120.400
KBFI,approach,125.900
KBFI,approach,126.500
KBFI,approach,128.500
KBFI,atis,127.750
KBFI,clearance,132.400
KBFI,ground,121.900
KBFI,unicom,122.950
KBFK,ctaf,122.900
KBFL,approach,118.800
KBFL,approach,118.900
KBFL,approach,119.075
KBFL,atis,118.600
KBFL,ctaf,118.100
KBFL,departure,126.450
KBFL,ground,121.700
KBFL,unicom,122.950
KBFM,approach,118.500
KBFM,atis,135.575
KBFM,ctaf,118.800
KBFM,ground,121.700
KBFM,unicom,122.950
KBFR,approach,123.675
KBFR,awos,119.125
KBFR,ctaf,122.800
KBFR,unicom,122.800
KBFW,ctaf,122.900
KBFZ,approach,125.450
KBFZ,awos,119.575
KBFZ,ctaf,123.000
KBFZ,unicom,123.000
KBGD,approach,119.500
KBGD,approach,121.150
KBGD,asos,118.325
KBGD,ctaf,123.000
KBGD,unicom,123.000
KBGE,approach,128.700
KBGE,awos,121.125
KBGE,clearance,124.775
KBGE,ctaf,122.975
KBGE,unicom,122.975
KBGF,awos,121.675
KBGF,ctaf,122.800
KBGF,unicom,122.800
KBGM,approach,118.600
KBGM,approach,127.550
KBGM,atis,128.150
KBGM,clearance,125.050
KBGM,ctaf,119.300
KBGM,ground,121.900
KBGM,unicom,122.950
KBGQ,approach,118.600
KBGQ,ctaf,122.800
KBGR,approach,118.925
KBGR,approach,124.500
KBGR,asos,127.750
KBGR,atis,127.750
KBGR,clearance,135.900
KBGR,ground,121.900
KBGR,unicom,122.950
KBHB,approach,133.600
KBHB,awos,118.350
KBHB,clearance,119.900
KBHB,ctaf,123.000
KBHB,unicom,123.000
KBHC,awos,118.200
KBHC,ctaf,122.800
KBHC,unicom,122.800
KBHK,asos,135.475
KBHK,ctaf,122.900
KBHM,approach,123.800
KBHM,approach,127.675
KBHM,atis,119.400
KBHM,clearance,125.675
KBHM,ground,121.700
KBHM,unicom,122.950
KBID,approach,125.750
KBID,awos,134.775
KBID,clearance,120.100
KBID,ctaf,123.000
KBID,unicom,123.000
KBIE,awos,125.325
KBIE,ctaf,122.800
KBIE,unicom,122.800
KBIF,approach,119.150
KBIF,approach,124.250
KBIF,clearance,125.000
KBIF,departure,124.250
KBIF,ground,121.600
KBIG,asos,135.650
KBIG,atis,132.075
KBIG,clearance,121.500
KBIG,clearance,122.200
KBIG,clearance,135.300
KBIG,ctaf,122.900
KBIG,ground,118.225
KBIH,asos,119.025
KBIH,ctaf,123.000
KBIH,unicom,123.000
KBIJ,approach,125.400
KBIJ,awos,118.475
KBIJ,ctaf,122.900
KBIL,approach,119.200
KBIL,approach,120.500
KBIL,asos,126.300
KBIL,atis,126.300
KBIL,clearance,121.900
KBIL,ground,121.900
KBIL,unicom,122.950
KBIS,approach,126.300
KBIS,atis,119.350
KBIS,ctaf,118.300
KBIS,ground,121.900
KBIS,unicom,122.950
KBIV,approach,133.825
KBIV,asos,119.025
KBIV,clearance,123.950
KBIV,ctaf,123.050
KBIV,unicom,123.050
KBIX,approach,124.600
KBIX,approach,127.500
KBIX,clearance,121.800
KBIX,ground,121.800
KBJC,approach,125.125
KBJC,atis,126.250
KBJC,clearance,132.600
KBJC,ctaf,118.600
KBJC,ground,121.700
KBJI,awos,119.275
KBJI,ctaf,122.800
KBJI,unicom,122.800
KBJJ,approach,125.500
KBJJ,asos,118.075
KBJJ,clearance,121.750
KBJJ,ctaf,122.975
KBJJ,unicom,122.975
KBKD,awos,120.175
KBKD,ctaf,122.800
KBKD,unicom,122.800
KBKE,asos,134.275
KBKE,ctaf,123.000
KBKE,unicom,123.000
KBKF,approach,128.450
KBKF,atis,119.675
KBKF,ground,121.600
KBKH,atis,128.000
KBKH,ground,124.200
KBKH,unicom,122.800
KBKL,approach,125.350
KBKL,atis,125.250
KBKL,clearance,121.900
KBKL,ctaf,124.300
KBKL,ground,121.900
KBKL,unicom,122.950
KBKN,awos,120.575
KBKN,ctaf,122.800
KBKN,unicom,122.800
KBKS,approach,119.900
KBKS,awos,118.125
KBKS,ctaf,122.800
KBKS,unicom,122.800
KBKT,atis,119.225
KBKT,ctaf,134.700
KBKT,ground,127.625
KBKV,approach,119.900
KBKV,approach,125.300
KBKV,asos,134.725
KBKV,clearance,119.125
KBKV,ctaf,118.550
KBKV,ground,121.400
KBKV,unicom,123.000
KBKW,approach,125.400
KBKW,asos,121.550
KBKW,ctaf,123.000
KBKW,unicom,123.000
KBKX,awos,119.925
KBKX,ctaf,123.000
KBKX,unicom,123.000
KBLF,asos,132.725
KBLF,ctaf,122.900
KBLG,ctaf,122.700
KBLG,unicom,122.700
KBLH,asos,120.175
KBLH,ctaf,122.800
KBLH,unicom,122.800
KBLI,approach,132.700
KBLI,atis,134.450
KBLI,ctaf,124.900
KBLI,ground,127.400
KBLI,unicom,122.950
KBLM,approach,126.475
KBLM,awos,121.625
KBLM,clearance,126.150
KBLM,ctaf,123.000
KBLM,unicom,123.000
KBLU,asos,120.075
KBLU,ctaf,122.900
KBLV,approach,125.200
KBLV,atis,128.700
KBLV,clearance,119.875
KBLV,clearance,128.100
KBLV,ground,119.200
KBLV,unicom,122.950
KBMC,approach,121.100
KBMC,awos,135.075
KBMC,clearance,126.000
KBMC,ctaf,123.050
KBMC,unicom,123.050
KBMG,approach,128.025
KBMG,asos,134.525
KBMG,ctaf,120.775
KBMG,ground,121.900
KBMG,unicom,122.950
KBMI,approach,128.725
KBMI,atis,119.575
KBMI,awos,135.350
KBMI,ctaf,124.600
KBMI,ground,121.650
KBMI,unicom,122.950
KBML,asos,135.175
KBML,ctaf,122.700
KBML,unicom,122.700
KBMQ,asos,119.925
KBMQ,ctaf,122.800
KBMQ,unicom,122.800
KBMT,approach,121.300
KBMT,awos,118.425
KBMT,clearance,121.750
KBMT,ctaf,123.000
KBMT,unicom,123.000
KBNA,approach,118.400
KBNA,approach,119.350
KBNA,atis,135.100
KBNA,clearance,126.050
